atkUnit,AntiAir,APC,Artillery,BattleCopter,Battleship,BlackBoat,BlackBomb,Bomber,Carrier,Cruiser,Fighter,Infantry,Lander,MediumTank,Mech,MegaTank,Missile,Neotank,Piperunner,Recon,Rocket,Stealth,Submarine,TransportCopter,Tank
AntiAir,45,50,50,120,-,-,120,75,-,-,65,105,-,10,105,1,55,5,25,60,55,75,-,120,25
APC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Artillery,75,70,75,-,40,55,-,-,45,65,-,90,55,45,85,15,80,40,70,80,80,-,60,-,70
BattleCopter,25,60,65,-,25,25,-,-,25,55,-,-,25,25,-,10,65,20,55,55,65,-,25,-,55
Battleship,85,80,80,-,50,95,-,-,60,95,-,95,95,55,90,25,90,50,80,90,85,-,95,-,80
BlackBoat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BlackBomb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bomber,95,105,105,-,75,95,-,-,75,85,-,110,95,95,110,35,105,90,105,105,105,-,95,-,105
Carrier,-,-,-,115,-,-,120,100,-,-,100,-,-,-,-,-,-,-,-,-,-,100,-,115,-
Cruiser,-,-,-,-,-,25,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-
Fighter,-,-,-,100,-,-,120,100,-,-,55,-,-,-,-,-,-,-,-,-,-,85,-,100,-
Infantry,5,12,15,7,-,-,-,-,-,-,-,55,-,1,45,1,25,1,5,12,25,-,-,30,5
Lander,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MediumTank,105,105,105,-,10,35,-,-,10,45,-,-,35,55,-,25,105,45,85,105,105,-,10,-,85
Mech,65,75,70,-,-,-,-,-,-,-,-,-,-,15,-,5,85,15,55,85,85,-,-,-,55
MegaTank,195,195,195,-,45,105,-,-,45,65,-,-,75,125,-,65,195,115,180,195,195,-,45,-,180
Missile,-,-,-,120,-,-,120,100,-,-,100,-,-,-,-,-,-,-,-,-,-,100,-,120,-
Neotank,115,125,115,-,15,40,-,-,15,50,-,-,40,75,-,35,125,55,105,125,125,-,15,-,105
Piperunner,85,80,80,105,55,60,120,75,60,60,65,95,60,55,90,25,90,50,80,90,85,75,85,105,80
Recon,4,45,45,10,-,-,-,-,-,-,-,70,-,1,65,1,28,1,6,35,55,-,-,35,6
Rocket,85,80,80,-,55,60,-,-,60,85,-,95,60,55,90,25,90,50,80,90,85,-,85,-,80
Stealth,50,85,75,85,45,65,120,70,45,35,45,90,65,70,90,15,85,60,80,85,85,55,55,95,75
Submarine,-,-,-,-,55,95,-,-,75,25,-,-,95,-,-,-,-,-,-,-,-,-,55,-,-
TransportCopter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tank,65,75,70,-,1,10,-,-,1,5,-,-,10,15,-,10,85,15,55,85,85,-,1,-,55
